run_id,algo,space,params,eligible,n_fit,silhouette_mean,silhouette_std,calinski_harabasz,davies_bouldin,stability_ari,prototype_fidelity,spatial_coherence,largest_share,size_entropy,noise_frac,k_effective,bic,aic
gmm__covariance_type=full_k=14__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 14}",True,107362,0.4200978210824507,0.0032616705727036,22198.82671086689,1.4089901984721434,0.7780800066137669,0.4954765605133244,0.5676280795995432,0.1686071421918369,0.9504585849056492,0.0,14,-1833970.4492749297,-1839998.7611093435
gmm__covariance_type=full_k=16__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 16}",True,107362,0.4372553248177926,0.0033155046650755,20355.477663069774,1.4218926072036684,0.7830810922146131,0.5268177231631841,0.5679840877013731,0.1686071421918369,0.933495428239597,0.0,16,-2152171.771174517,-2159062.639551216
gmm__covariance_type=full_k=18__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 18}",True,107362,0.4632063977726884,0.0028079176708973,21657.68123732237,1.3120212998439724,0.7780122664623986,0.5735919618300859,0.5651677596247398,0.1686071421918369,0.9344315504566718,0.0,18,-2385206.8852442647,-2392960.3101632483
gmm__covariance_type=full_k=20__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 20}",True,107362,0.4848953693610089,0.0031797461933588,21382.15079724601,1.5013858887216125,0.7543305594052443,0.5954825201646602,0.5697443650800103,0.1686071421918369,0.9306362559623674,0.0,20,-2579760.051307264,-2588376.0327685326
gmm__covariance_type=diag_k=2__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 2}",True,107362,0.2090670294781361,0.0015528697939005,25248.584381567496,1.8226390755137487,0.3520744818974067,0.0957124062276274,0.2536883529381246,0.5925653396918835,0.9751337947781644,0.0,2,2162765.736386351,2162449.4656541795
gmm__covariance_type=diag_k=3__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 3}",True,107362,0.2458111906262175,0.0023831541818548,29116.101720351176,1.5865235067342238,0.3434827350707141,0.1213655697057722,0.4033503225393943,0.4036996330172687,0.9893880925701242,0.0,3,2043309.9033925768,2042830.7053135291
gmm__covariance_type=diag_k=4__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 4}",True,107362,0.2977214786099968,0.0013117899455002,30014.714306085032,1.3862018637105566,0.3331085079264476,0.1319619324399901,0.4580749474438618,0.4205957415100315,0.9446227738846042,0.0,4,1962212.9393367888,1961570.8139108657
gmm__covariance_type=diag_k=5__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 5}",True,107362,0.2837700014798881,0.0026055399130078,24664.72499926416,1.3438882335481472,0.4492810959007126,0.3548811240105795,0.4348304845456108,0.3704290158529088,0.945422882243343,0.0,5,1323316.6780746572,1322511.625301858
gmm__covariance_type=diag_k=6__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 6}",True,107362,0.3195211701470025,0.0022870722732268,27736.223942090648,1.3452137380434877,0.8042686205929531,0.3559676409088679,0.460080961927762,0.2961569270319107,0.9583860703737564,0.0,6,1260627.2364932448,1259659.2563735694
gmm__covariance_type=diag_k=7__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 7}",True,107362,0.3542050707601529,0.002045962506457,29578.14307829499,1.3327587905286735,0.6277553431670496,0.3547030498095013,0.4915952941328525,0.197323075203517,0.9762021971349216,0.0,7,1198149.5328421514,1197018.6253756
gmm__covariance_type=diag_k=8__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 8}",True,107362,0.3460952002545543,0.0027593542226586,24737.51231937901,1.368226793119708,0.69193762054862,0.369067100348055,0.4907733268124817,0.2425811739721689,0.9351620137250404,0.0,8,1143691.2063023802,1142397.3714889528
gmm__covariance_type=diag_k=9__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 9}",True,107362,0.3797082868606821,0.0018365787771697,25053.80211270176,1.4884364608699667,0.6564600128257269,0.377690283214264,0.5160209556583116,0.174316797377098,0.9747294991912028,0.0,9,1093074.624038214,1091617.8618779103
gmm__covariance_type=diag_k=10__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 10}",True,107362,0.3676108859754187,0.0021385879156519,22203.21887612423,1.539560371421371,0.6662463826955192,0.4082078743770547,0.5316338438533426,0.1754997112572418,0.9444124645145876,0.0,10,1033550.4840519688,1031930.7945447892
gmm__covariance_type=diag_k=12__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 12}",True,107362,0.4032495767956442,0.0023830899589377,23730.15336299209,1.2782864637282427,0.6847004330400409,0.4618214171673197,0.5618262620333763,0.1620685158622231,0.93757266383868,0.0,12,817934.3246834108,815988.7804824791
gmm__covariance_type=diag_k=14__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 14}",True,107362,0.4039405790746292,0.0037837796627792,21093.642576432787,1.3379072213240832,0.7213030190760338,0.4912900865226748,0.5714086614200276,0.1620685158622231,0.9410472233977611,0.0,14,547834.367928487,545562.9690338033
gmm__covariance_type=diag_k=16__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 16}",True,107362,0.4202428394747924,0.0042852856312733,19004.964318716884,1.31603675034099,0.7825118660206591,0.532321854153352,0.5677455967409204,0.1620685158622231,0.9183184385408124,0.0,16,390946.8481921393,388349.5946037035
gmm__covariance_type=diag_k=18__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 18}",True,107362,0.4460319001024819,0.0031586046563169,18283.43951028756,1.2652869752018814,0.710215482043424,0.5568996463162246,0.5579008205543772,0.1720534267245394,0.9033720282459696,0.0,18,282289.92116942746,279366.8128872395
gmm__covariance_type=diag_k=20__space=standard,gmm,standard,"{""covariance_type"": ""diag"", ""k"": 20}",True,107362,0.448888771678596,0.0031122502431182,17776.201588197007,1.4444415881237338,0.6779582142495056,0.5344924500544606,0.5890148631773977,0.1620685158622231,0.9363830181166584,0.0,20,217816.06728567003,214567.10430973
hdbscan__min_cluster_size=250_min_samples=None__space=standard,hdbscan,standard,"{""min_cluster_size"": 250, ""min_samples"": null}",True,107362,0.9159434387825238,0.0013514561285617266,159730.67817842733,0.28419160966118057,0.8743716173773332,0.9546814978468584,0.5790790037300477,0.1326037239319542,0.890620950281787,0.10807362008904454,115,,
hdbscan__min_cluster_size=250_min_samples=25__space=standard,hdbscan,standard,"{""min_cluster_size"": 250, ""min_samples"": 25}",True,107362,0.8598997482698916,0.0014126183407307505,45762.19026750248,0.5475553973650512,0.8947594164419225,0.9324838912405456,0.581982611464634,0.1273135615312118,0.8976609691606421,0.07101208993871203,118,,
hdbscan__min_cluster_size=500_min_samples=None__space=standard,hdbscan,standard,"{""min_cluster_size"": 500, ""min_samples"": null}",True,107362,0.8851567211799596,0.0006458912180457746,197834.7675997009,0.29277812440671647,0.9051355459695497,0.9353375814018339,0.5686621413719538,0.14802294134104263,0.9093720672053776,0.20098358823419832,63,,
hdbscan__min_cluster_size=500_min_samples=25__space=standard,hdbscan,standard,"{""min_cluster_size"": 500, ""min_samples"": 25}",True,107362,0.7942564944179775,0.0018065657223506962,47467.88073081149,0.5787393985441218,0.9203120575461351,0.9056375266733275,0.5881096228034797,0.1323659713752593,0.91704557871618,0.10647156349546394,73,,
hdbscan__min_cluster_size=1000_min_samples=None__space=standard,hdbscan,standard,"{""min_cluster_size"": 1000, ""min_samples"": null}",True,107362,0.7987209814439691,0.000719403569564887,98931.85028581662,0.40628401940368514,0.9681336231377985,0.8612242185637888,0.5668798324529739,0.15654510935226965,0.9366255894580257,0.2444812876064157,31,,
hdbscan__min_cluster_size=1000_min_samples=25__space=standard,hdbscan,standard,"{""min_cluster_size"": 1000, ""min_samples"": 25}",True,107362,0.6399994909019184,0.003270667068527218,26259.19367714027,0.7095519966091712,0.9750813939699143,0.8299682266749522,0.6151407336790835,0.13122242086661776,0.9427339317390512,0.09868482330806058,38,,
hdbscan__min_cluster_size=2500_min_samples=None__space=standard,hdbscan,standard,"{""min_cluster_size"": 2500, ""min_samples"": null}",True,107362,0.7844162409732107,0.0011318808307652305,108352.87680072029,0.4607875330928784,0.9870856439137001,0.863236632705204,0.4424992178392424,0.21334005376344087,0.953594700215421,0.44561390436094706,12,,
hdbscan__min_cluster_size=2500_min_samples=25__space=standard,hdbscan,standard,"{""min_cluster_size"": 2500, ""min_samples"": 25}",True,107362,0.5426133538352412,0.0008779961924536959,21541.407859008097,0.958869395990304,0.8030659577246754,0.7159763658103705,0.5837202495998193,0.14282661267645239,0.9735016159420864,0.17191371248672715,17,,
